cnt,course_cmu_id,course_piazza_id,name,prof,term,course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
32,33122-1,jb8qxf306bk2qr,Physics II for Biological Sciences and Chemistry Students,Danny Darvish,Spring 2018,jb8qxf306bk2qr,,0,10,7,,0,,,,,,,,,,,,,,,,,,
75,95828-A,jba78lxpqee2o6,Machine Learning for Problem Solving,"Runshan  Fu, Abhinav Maurya, Yashu Pant, Leman Akoglu",Spring 2018,jba78lxpqee2o6,230.0,0,810,257,9470.0,29,2.0,18.0,93.0,51.0,j8xd9pw8nia32s,246.0,4.0,6.0,79.0,26.0,j7i9o0brcqs7jj,186.0,2.0,14.0,106.0,23.0,j95n2oqa9wb4ou,224.0
39,60-125,jbb91qbyetj4fb,Intro to 3D Animation,james krahe,Spring 2018,jbb91qbyetj4fb,102.0,0,845,234,26885.0,99,16.0,12.0,106.0,42.0,iprn54803vtwu,205.0,1.0,8.0,45.0,41.0,iprn5n6os4l1fk,196.0,19.0,10.0,61.0,40.0,iprn449eq5k7md,226.0
364,15-213/18-213/15-513,jbbnaknkycr39,Introduction to Computer Systems (ICS),"seth copen goldstein, Franz Franchetti, Zack Coker, Aayush Bhutani, Ian Chiu, Stanley Zhang, Fernando D Melean, Valentina Kozina, Raghav Goyal, Axel Feldmann, Nolan Hiehle, Jiayi Zhao, Aarohi Palkar, Joshua Moavenzadeh, Stephen Clark, Kashish Garg, Puneetha Ramachandra, David Bang, DONGQI WANG, Shrikant Giridhar, Gabriel Schrag, Satoru Ozaki, Roshan S. Nair, Brian Railing, Cameron, Piazza Bot, Franz Franchetti, Nikhil Jog",Spring 2018,jbbnaknkycr39,3560.0,0,12733,2943,488.0,191,4.0,147.0,111.0,432.0,iprn4sk6252l9,355.0,0.0,118.0,107.0,342.0,ipbrvt8ydt84jl,383.0,0.0,117.0,97.0,145.0,iprn4fcerde7x,227.0
44,18441,jbcd1y99k1g9t,Computer Networks,"Akshay Gadre, Swarun Kumar",Spring 2018,jbcd1y99k1g9t,170.0,0,607,187,3852.0,35,20.0,8.0,118.0,43.0,j6h0asfae5646u,136.0,0.0,20.0,112.0,43.0,j6h0ajp73dw41d,135.0,0.0,20.0,101.0,35.0,j6tthy0nUDG,122.0
3,80311,jbclip7dli25c8,Undecidability and Incompleteness,Wilfried Sieg,Spring 2018,jbclip7dli25c8,,0,5,5,,0,,,,,,,,,,,,,,,,,,
17,21369-A,jbdaawwi945fv,Numerical Methods,Shlomo Ta'asan,Spring 2018,jbdaawwi945fv,12.0,0,41,23,2351.0,0,,,,,,,,,,,,,,,,,,
60,15-312,jbdxj4j5ezl51j,Foundations of Programming Languages,"Jeanne Luning Prak, Jan Hoffmann, Serena Wang, Charles",Spring 2018,jbdxj4j5ezl51j,366.0,0,1179,375,273.0,24,0.0,65.0,112.0,116.0,j6p5nx946mf5l9,194.0,3.0,21.0,62.0,53.0,hy5yqam0kci100,115.0,3.0,21.0,68.0,35.0,iprn49zkk9k28,177.0
19,21366-A,jbeo71jeduz3rx,Stochastic Methods in Applied Mathematics,"Yu Gu, Sijie Wei",Spring 2018,jbeo71jeduz3rx,43.0,0,148,53,2972.0,4,4.0,15.0,121.0,30.0,iprn4rmtxofk9,37.0,0.0,14.0,91.0,20.0,ie1u3f3cbrk23q,36.0,0.0,9.0,80.0,11.0,hkud5by0x1c62r,40.0
38,98-317,jbeofnoss4947n,Hype for Types,Charles,Spring 2018,jbeofnoss4947n,40.0,0,354,77,211.0,16,1.0,0.0,77.0,24.0,i2j2q1sdo1b57f,44.0,2.0,11.0,117.0,24.0,ib3rggthsgo59a,73.0,1.0,4.0,118.0,24.0,iprn5h7r3ag19a,75.0
